Report Name,Organisation Code,Organisation Name,Month,Patient Type,Value 1,Value 2,Value 3,Value 4
1. MSitAE Comparison,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,Apr-20,All Patients,4390,4389,100,
1. MSitAE Comparison,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,Apr-20,All Patients,4405,4370,101,
1. MSitAE Comparison,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,Apr-20,All Patients,7340,7318,100,
1. MSitAE Comparison,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Apr-20,All Patients,3630,3687,98,
1. MSitAE Comparison,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,Apr-20,All Patients,3520,3542,99,
1. MSitAE Comparison,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Apr-20,All Patients,6095,6129,99,
1. MSitAE Comparison,RH5,SOMERSET NHS FOUNDATION TRUST,Apr-20,All Patients,6165,4477,138,
1. MSitAE Comparison,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,Apr-20,All Patients,4455,4724,94,
1. MSitAE Comparison,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,Apr-20,All Patients,5730,5735,100,
1. MSitAE Comparison,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,Apr-20,All Patients,6890,8277,83,
1. MSitAE Comparison,RHU,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,Apr-20,All Patients,6585,6580,100,
1. MSitAE Comparison,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,Apr-20,All Patients,5975,5975,100,
1. MSitAE Comparison,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,Apr-20,All Patients,5625,6080,93,
1. MSitAE Comparison,RJ2,LEWISHAM AND GREENWICH NHS TRUST,Apr-20,All Patients,9485,12124,78,
1. MSitAE Comparison,RJ6,CROYDON HEALTH SERVICES NHS TRUST,Apr-20,All Patients,7510,7513,100,
1. MSitAE Comparison,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Apr-20,All Patients,5595,5897,95,
1. MSitAE Comparison,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,Apr-20,All Patients,3015,3014,100,
1. MSitAE Comparison,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,Apr-20,All Patients,9755,10991,89,
1. MSitAE Comparison,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,Apr-20,All Patients,7065,7062,100,
1. MSitAE Comparison,RJN,EAST CHESHIRE NHS TRUST,Apr-20,All Patients,2235,2252,99,
1. MSitAE Comparison,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,Apr-20,All Patients,3805,3568,107,
1. MSitAE Comparison,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,Apr-20,All Patients,8795,11148,79,
1. MSitAE Comparison,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,Apr-20,All Patients,5520,6648,83,
1. MSitAE Comparison,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,Apr-20,All Patients,5495,6691,82,
1. MSitAE Comparison,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,Apr-20,All Patients,7125,7026,101,
1. MSitAE Comparison,RKE,WHITTINGTON HEALTH NHS TRUST,Apr-20,All Patients,4030,4028,100,
1. MSitAE Comparison,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,Apr-20,All Patients,6775,7136,95,
1. MSitAE Comparison,RLQ,WYE VALLEY NHS TRUST,Apr-20,All Patients,2670,2860,93,
1. MSitAE Comparison,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,Apr-20,All Patients,3355,3357,100,
1. MSitAE Comparison,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Apr-20,All Patients,6680,7867,85,
1. MSitAE Comparison,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,Apr-20,All Patients,4615,4830,96,
1. MSitAE Comparison,RMC,BOLTON NHS FOUNDATION TRUST,Apr-20,All Patients,5760,5760,100,
1. MSitAE Comparison,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,Apr-20,All Patients,4805,4806,100,
1. MSitAE Comparison,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,Apr-20,All Patients,5090,5043,101,
1. MSitAE Comparison,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,Apr-20,All Patients,7125,7132,100,
1. MSitAE Comparison,RN7,DARTFORD AND GRAVESHAM NHS TRUST,Apr-20,All Patients,5500,5540,99,
1. MSitAE Comparison,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,Apr-20,All Patients,4595,6479,71,
1. MSitAE Comparison,RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,Apr-20,All Patients,4285,4222,101,
1. MSitAE Comparison,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,Apr-20,All Patients,4450,4464,100,
1. MSitAE Comparison,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,Apr-20,All Patients,5430,5440,100,
1. MSitAE Comparison,RNU,OXFORD HEALTH NHS FOUNDATION TRUST,Apr-20,All Patients,1510,1222,124,
1. MSitAE Comparison,RNZ,SALISBURY NHS FOUNDATION TRUST,Apr-20,All Patients,2465,3139,78,
1. MSitAE Comparison,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,Apr-20,All Patients,8180,8175,100,
1. MSitAE Comparison,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,Apr-20,All Patients,3405,3394,100,
1. MSitAE Comparison,RPA,MEDWAY NHS FOUNDATION TRUST,Apr-20,All Patients,5950,5985,99,
1. MSitAE Comparison,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,Apr-20,All Patients,395,396,-,
1. MSitAE Comparison,RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,Apr-20,All Patients,2265,2263,100,
1. MSitAE Comparison,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,Apr-20,All Patients,7475,10111,74,
1. MSitAE Comparison,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,Apr-20,All Patients,4480,4484,100,
1. MSitAE Comparison,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,Apr-20,All Patients,4055,4073,100,
1. MSitAE Comparison,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,Apr-20,All Patients,4100,4095,100,
1. MSitAE Comparison,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,Apr-20,All Patients,8925,10448,85,
1. MSitAE Comparison,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",Apr-20,All Patients,6050,6059,100,
1. MSitAE Comparison,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,Apr-20,All Patients,15250,18564,82,
1. MSitAE Comparison,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,Apr-20,All Patients,3485,3492,100,
1. MSitAE Comparison,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,Apr-20,All Patients,7170,7321,98,
1. MSitAE Comparison,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,Apr-20,All Patients,6860,7127,96,
