INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I02038,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,985,95970,1
I02038,R1F,ISLE OF WIGHT NHS TRUST,0,18585,0
I02038,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,0,30895,0
I02038,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,0,45710,0
I02038,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,*,87815,*
I02038,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,0,52340,0
I02038,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,1670,73970,2.3
I02038,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,640,92035,0.7
I02038,RJ2,LEWISHAM AND GREENWICH NHS TRUST,65,82070,0.1
I02038,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,740,84255,0.9
I02038,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,1430,102390,1.4
I02038,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,305,89510,0.3
I02038,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,795,183890,0.4
I02038,RPA,MEDWAY NHS FOUNDATION TRUST,75,52865,0.1
I02038,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,805,165850,0.5
I02038,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,40,50255,0.1
I02038,RXF,MID YORKSHIRE TEACHING NHS TRUST,3690,79265,4.7
I02038,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,*,49760,*
I02038,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,*,71745,*
I02038,RVJ,NORTH BRISTOL NHS TRUST,*,88470,*
I02038,RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,990,42305,2.3
I02038,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,0,32350,0
I02038,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,10,56420,0
I02038,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,950,73415,1.3
I02038,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,0,72045,0
I02038,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,460,115780,0.4
I02038,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,540,66895,0.8
I02038,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,7060,94430,7.5
I02038,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,2675,132240,2
I02038,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1580,116145,1.4
I02038,RHU,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,0,85465,0
I02038,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,40,63715,0.1
I02038,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,1135,57415,2
I02038,RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,990,86440,1.1
I02038,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,35,89925,0
I02038,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,0,52700,0
I02038,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,*,56490,*
I02038,RNZ,SALISBURY NHS FOUNDATION TRUST,105,32125,0.3
I02038,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,2220,60450,3.7
I02038,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,2110,108615,1.9
I02038,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,1255,58150,2.2
I02038,RH5,SOMERSET NHS FOUNDATION TRUST,735,75485,1
I02038,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,1005,75530,1.3
I02038,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,210,76740,0.3
I02038,RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,480,39665,1.2
I02038,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,30,29300,0.1
I02038,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,10,60435,0
I02038,RBN,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,430,80470,0.5
I02038,RWJ,STOCKPORT NHS FOUNDATION TRUST,0,51855,0
I02038,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,15,50150,0
I02038,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,0,36215,0
I02038,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,0,68880,0
I02038,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,15,36065,0
I02038,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,5705,104360,5.5
I02038,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,0,39780,0
I02038,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",0,41175,0
I02038,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,0,44685,0
I02038,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,895,98435,0.9
I02038,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,620,64665,1
I02038,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,0,35785,0
I02038,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,840,72940,1.2
I02038,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,285,72440,0.4
I02038,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,700,88880,0.8
I02038,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,6195,196950,3.1
I02038,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,600,89545,0.7
I02038,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,1180,95505,1.2
I02038,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,500,86835,0.6
I02038,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,1450,122545,1.2
I02038,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,345,144845,0.2
I02038,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,390,48900,0.8
I02038,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,555,129440,0.4
I02038,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,985,66735,1.5
I02038,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,775,125505,0.6
I02038,RBK,WALSALL HEALTHCARE NHS TRUST,75,63125,0.1
I02038,RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,230,35535,0.6
I02038,RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,*,57700,*
I02038,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,250,35145,0.7
I02038,RKE,WHITTINGTON HEALTH NHS TRUST,0,20390,0
I02038,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,110,58195,0.2
I02038,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,405,69380,0.6
I02038,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",185,40375,0.5
I02038,RLQ,WYE VALLEY NHS TRUST,995,29690,3.4
I02038,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,1075,83450,1.3
