INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,SHMI_VALUE,SHMI_BANDING,SPELLS,OBSERVED,EXPECTED,PO_LL,PO_UL,OD_LL,OD_UL
I00699,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,0.9332,2,99765,2465,2640,0.941,1.0616,0.8921,1.1209
I00699,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,1.0261,2,188940,4280,4170,0.9528,1.0488,0.8942,1.1183
I00699,RPA,MEDWAY NHS FOUNDATION TRUST,1.1932,1,52720,1905,1595,0.9244,1.0798,0.8885,1.1255
I00699,RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,1.0579,2,122245,3785,3575,0.9491,1.0528,0.8936,1.119
I00699,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,1.0758,2,179960,6225,5785,0.9599,1.0413,0.8953,1.117
I00699,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,0.9085,2,55470,1590,1750,0.9277,1.0761,0.8893,1.1245
I00699,RXF,MID YORKSHIRE TEACHING NHS TRUST,1.068,2,82690,2945,2760,0.9422,1.0602,0.8924,1.1206
I00699,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1.1031,2,38535,1370,1245,0.9147,1.0908,0.8859,1.1287
I00699,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1.1986,1,76150,3655,3050,0.945,1.0572,0.8929,1.12
I00699,RVJ,NORTH BRISTOL NHS TRUST,0.9557,2,95540,2485,2600,0.9405,1.0621,0.892,1.121
I00699,RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,1.0597,2,46105,2140,2020,0.9327,1.0707,0.8904,1.1231
I00699,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,1.0318,2,30160,1260,1225,0.914,1.0915,0.8858,1.129
I00699,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,0.976,2,59070,1940,1990,0.9322,1.0712,0.8903,1.1232
I00699,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,1.0031,2,80405,2850,2845,0.943,1.0593,0.8925,1.1204
I00699,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,0.9378,2,77145,2055,2195,0.9353,1.0678,0.891,1.1224
I00699,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,1.0023,2,125570,4550,4535,0.9548,1.0467,0.8945,1.1179
I00699,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,0.9897,2,67585,2195,2220,0.9357,1.0674,0.891,1.1223
I00699,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,0.9406,2,104375,3185,3385,0.9477,1.0543,0.8934,1.1193
I00699,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,1.0489,2,141335,4405,4200,0.953,1.0486,0.8943,1.1182
I00699,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,0.8571,3,128400,3100,3615,0.9494,1.0525,0.8937,1.119
I00699,RHU,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,0.8934,3,93365,3215,3600,0.9493,1.0526,0.8936,1.119
I00699,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,1.0209,2,63685,2075,2035,0.9329,1.0704,0.8904,1.123
I00699,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,1.047,2,65160,2360,2255,0.9362,1.0668,0.8912,1.1221
I00699,RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,0.969,2,98380,3460,3570,0.9491,1.0528,0.8936,1.1191
I00699,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,0.7671,3,104005,2490,3245,0.9466,1.0554,0.8932,1.1196
I00699,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,**,**,**,**,**,**,**,**,**
I00699,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,0.9294,2,61905,1955,2105,0.934,1.0692,0.8907,1.1227
I00699,RNZ,SALISBURY NHS FOUNDATION TRUST,0.9559,2,32870,980,1025,0.9062,1.1004,0.8836,1.1318
I00699,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,1.1315,1,60670,2100,1855,0.9298,1.0739,0.8897,1.1239
I00699,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,0.9654,2,123555,3600,3730,0.9502,1.0516,0.8938,1.1188
I00699,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,1.0596,2,63395,2250,2125,0.9343,1.0689,0.8907,1.1227
I00699,RH5,SOMERSET NHS FOUNDATION TRUST,1.0193,2,82205,3260,3200,0.9463,1.0558,0.8931,1.1197
I00699,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,1.0701,2,98545,2755,2575,0.9402,1.0624,0.892,1.1211
I00699,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,1.0962,2,80960,3250,2965,0.9442,1.0581,0.8927,1.1201
I00699,RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,1.0302,2,45025,1425,1380,0.9189,1.0859,0.8871,1.1273
I00699,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,0.9127,2,66660,1740,1910,0.9307,1.0728,0.89,1.1236
I00699,RWJ,STOCKPORT NHS FOUNDATION TRUST,0.9355,2,54220,1760,1885,0.9303,1.0733,0.8899,1.1238
I00699,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,1.0127,2,60245,2070,2045,0.9331,1.0702,0.8905,1.123
I00699,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,1.0241,2,42360,1415,1380,0.9189,1.086,0.8871,1.1273
I00699,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,1.0015,2,84975,2420,2415,0.9383,1.0645,0.8916,1.1216
I00699,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,0.9662,2,43130,920,955,0.9029,1.1041,0.8826,1.133
