code_hopital,annee_fiscale,taux_occupation_lits,taux_mortalite,taux_infection_nosocomiale,duree_moyenne_sejour_jours,temps_attente_median_min,taux_lits_vacants,taux_transfert,nombre_lits_disponibles,total_admissions,nombre_medecins,nombre_infirmiers,ratio_medecin_par_lit,ratio_infirmier_par_lit,ratio_infirmier_par_medecin,statut_hopital
RXW,2023-24,94.7,2.458,0.1009,4.15519285128112,221.0,5.3,0.99,826.8791208791209,139700.0,844.0,1928.0,1.021,2.332,2.284,Attention
RAJ,2023-24,93.6,2.75,0.1456,4.20415720810656,225.0,6.4,5.17,1868.8461538461538,297435.0,2191.0,4574.0,1.172,2.447,2.088,Critique
RC9,2023-24,93.5,2.55,0.0608,3.39803441736763,189.0,6.5,6.56,1200.611111111111,190705.0,1317.0,2320.0,1.097,1.932,1.762,Critique
RCX,2023-24,95.7,2.528,0.144,4.3194894431277,211.0,4.3,5.79,567.4285714285714,79885.0,489.0,959.0,0.862,1.69,1.961,Critique
RD8,2023-24,92.0,2.543,0.0936,5.0826151630345,210.0,8.0,1.97,586.4835164835165,68345.0,539.0,1167.0,0.919,1.99,2.165,Attention
RDE,2023-24,94.8,2.758,0.1077,4.40563798726245,176.0,5.2,1.19,1267.5384615384614,208990.0,1273.0,3252.0,1.004,2.566,2.555,Attention
RGN,2023-24,83.6,2.58,0.1432,4.31651251520843,203.0,16.4,1.4,1097.8021978021977,133350.0,983.0,2196.0,0.895,2.0,2.234,Normal
RGP,2023-24,87.3,2.661,0.0719,5.23715709295,216.0,12.7,0.98,452.0,68135.0,432.0,1109.0,0.956,2.454,2.567,Attention
RGR,2023-24,86.1,2.532,0.171,4.65274012178319,209.0,13.9,1.32,517.4835164835165,69585.0,563.0,1308.0,1.088,2.528,2.323,Attention
RGT,2023-24,93.9,2.447,0.1323,6.44477201536434,179.0,6.1,0.79,1115.5714285714287,149675.0,1778.0,3579.0,1.594,3.208,2.013,Critique
RM1,2023-24,94.6,2.995,0.102,5.15917172402528,199.0,5.4,4.72,1067.7142857142858,172580.0,1310.0,2520.0,1.227,2.36,1.924,Critique
RQW,2023-24,85.1,2.532,0.1181,4.20370862848439,239.0,14.9,1.8,499.0,65180.0,614.0,1060.0,1.23,2.124,1.726,Attention
RWG,2023-24,85.7,2.514,0.0991,4.01261418674514,205.0,14.3,1.57,733.0,104905.0,774.0,1666.0,1.056,2.273,2.152,Attention
RWH,2023-24,87.7,2.26,0.1083,4.2262747685887,176.0,12.3,1.23,645.9230769230769,132015.0,989.0,1801.0,1.531,2.788,1.821,Attention
RBL,2023-24,91.5,2.646,0.1445,4.64249619923261,234.0,8.5,4.81,798.054945054945,112765.0,745.0,1681.0,0.934,2.106,2.256,Attention
RBN,2023-24,93.8,2.614,0.1205,3.67113574618768,172.0,6.2,4.39,1304.857142857143,180890.0,1317.0,2856.0,1.009,2.189,2.169,Critique
