code_hopital,annee_fiscale,taux_occupation_lits,taux_mortalite,taux_infection_nosocomiale,duree_moyenne_sejour_jours,temps_attente_median_min,taux_lits_vacants,taux_transfert,nombre_lits_disponibles,total_admissions,nombre_medecins,nombre_infirmiers,ratio_medecin_par_lit,ratio_infirmier_par_lit,ratio_infirmier_par_medecin,statut_hopital
RE9,2012-13,86.0,4.764,0.0188,5.4,72.0,14.0,14.4,415.0,37221.0,214.0,,0.516,,,Attention
RLN,2012-13,77.3,3.369,0.0495,4.3,109.0,22.7,7.89,887.1222222222223,127379.0,563.0,,0.635,,,Normal
RTD,2012-13,84.0,2.417,0.0348,5.0,93.0,16.0,9.45,1608.6444444444444,212396.0,1686.0,,1.048,,,Attention
RTF,2012-13,78.4,4.81,0.0468,5.5,107.0,21.6,6.46,1203.5222222222221,113129.0,617.0,,0.513,,,Attention
RTR,2012-13,84.5,3.186,0.0325,4.3,103.0,15.5,11.56,1154.3222222222223,150869.0,922.0,,0.799,,,Normal
RVW,2012-13,84.7,3.928,0.0728,4.1,121.0,15.3,10.5,669.4888888888889,83809.0,480.0,,0.717,,,Attention
RXP,2012-13,82.4,3.678,0.0478,3.7,59.0,17.6,12.61,1131.0,137963.0,743.0,,0.657,,,Normal
RBL,2012-13,81.7,3.575,0.0264,4.2,143.0,18.3,11.5,868.0333333333333,102146.0,564.0,,0.65,,,Attention
RBN,2012-13,94.2,3.181,0.0315,3.7,188.0,5.8,13.15,703.5555555555555,98439.0,522.0,,0.742,,,Critique
RBT,2012-13,94.3,3.894,0.0364,4.7,115.0,5.7,15.93,595.0,63128.0,295.0,,0.496,,,Critique
REM,2012-13,95.8,4.948,0.0995,5.9,162.0,4.2,0.37,712.9777777777778,72341.0,531.0,,0.745,,,Critique
RJN,2012-13,84.5,4.269,0.0789,4.9,162.0,15.5,12.2,426.7888888888889,36763.0,245.0,,0.574,,,Attention
RJR,2012-13,90.8,3.04,0.0617,4.1,172.0,9.2,19.24,621.7222222222222,77810.0,417.0,,0.671,,,Attention
RM2,2012-13,86.4,2.906,0.051,4.8,171.0,13.6,13.09,892.5333333333333,90280.0,674.0,,0.755,,,Attention
RM3,2012-13,91.9,3.506,0.0629,5.3,160.0,8.1,3.71,677.8,74775.0,742.0,,1.095,,,Attention
RMC,2012-13,83.7,2.85,0.0695,3.5,118.0,16.3,25.13,695.4222222222222,89207.0,481.0,,0.692,,,Normal
RMP,2012-13,90.7,3.986,0.0667,4.6,202.0,9.3,14.12,498.9555555555556,52452.0,277.0,,0.555,,,Attention
RNL,2012-13,87.6,3.98,0.0648,4.2,92.0,12.4,8.74,604.7,86465.0,385.0,,0.637,,,Attention
RQ6,2012-13,90.3,4.221,0.0602,5.5,154.0,9.7,0.5,790.0,88068.0,804.0,,1.018,,,Attention
RRF,2012-13,86.0,3.863,0.0402,3.5,151.0,14.0,11.47,483.6777777777778,86996.0,484.0,,1.001,,,Attention
RTX,2012-13,83.8,3.428,0.0513,4.6,150.0,16.2,8.62,771.2222222222222,93649.0,467.0,,0.606,,,Attention
RVY,2012-13,85.1,3.737,0.0379,4.2,113.0,14.9,11.29,490.5444444444444,60638.0,296.0,,0.603,,,Attention
RW6,2012-13,84.1,3.137,0.0414,3.4,137.0,15.9,11.4,1398.9222222222222,207699.0,995.0,,0.711,,,Attention
RWJ,2012-13,83.7,2.898,0.0557,4.0,154.0,16.3,14.9,751.7888888888889,86137.0,445.0,,0.592,,,Attention
RWW,2012-13,87.7,3.291,0.0233,3.8,127.0,12.3,11.34,628.9,81558.0,394.0,,0.626,,,Attention
RXN,2012-13,93.2,3.07,0.0506,4.4,127.0,6.8,13.75,913.2222222222222,128555.0,715.0,,0.783,,,Critique
RXR,2012-13,91.2,3.247,0.028,4.0,132.0,8.8,12.07,964.2777777777778,128665.0,703.0,,0.729,,,Attention
RAE,2012-13,76.5,2.488,0.0472,3.4,171.0,23.5,12.56,745.0444444444445,122760.0,669.0,,0.898,,,Attention
RCB,2012-13,90.4,4.053,0.0395,4.9,103.0,9.6,12.66,1146.7222222222222,136672.0,729.0,,0.636,,,Attention
RCD,2012-13,87.5,3.821,0.0437,4.7,123.0,12.5,9.36,336.47777777777776,48109.0,320.0,,0.951,,,Attention
RCF,2012-13,87.6,3.517,0.0338,4.1,140.0,12.4,18.81,394.5777777777778,53314.0,243.0,,0.616,,,Attention
RFF,2012-13,84.6,3.26,0.0351,3.7,164.0,15.4,17.99,524.5300000000001,65520.0,304.0,,0.58,,,Attention
RFR,2012-13,81.8,3.569,0.0275,4.1,151.0,18.2,12.13,594.3333333333334,72821.0,366.0,,0.616,,,Attention
RHQ,2012-13,86.9,3.311,0.0506,5.5,140.0,13.1,11.33,1926.7666666666667,205651.0,1462.0,,0.759,,,Attention
RP5,2012-13,86.0,3.69,0.0539,3.9,141.0,14.0,11.83,982.9333333333333,118832.0,574.0,,0.584,,,Attention
RR8,2012-13,82.6,3.146,0.0798,5.0,177.0,17.4,13.37,1933.1222222222223,193043.0,1855.0,,0.96,,,Attention
RWA,2012-13,92.1,3.668,0.0376,4.3,147.0,7.9,10.83,1103.7444444444445,154437.0,939.0,,0.851,,,Critique
RWY,2012-13,89.3,2.988,0.0242,3.3,124.0,10.7,18.7,797.3,119992.0,554.0,,0.695,,,Attention
RFS,2012-13,91.9,3.804,0.0549,4.2,164.0,8.1,14.8,619.0755555555556,70994.0,361.0,,0.583,,,Attention
RK5,2012-13,96.6,3.695,0.0349,4.7,160.0,3.4,14.64,751.9444444444445,83058.0,420.0,,0.559,,,Critique
RNQ,2012-13,92.0,3.191,0.0545,4.2,168.0,8.0,15.62,578.9111111111112,75229.0,373.0,,0.644,,,Attention
RNS,2012-13,88.8,3.2,0.0301,4.6,158.0,11.2,18.79,811.0777777777778,96237.0,506.0,,0.624,,,Attention
RTG,2012-13,90.3,3.637,0.0463,4.3,166.0,9.7,15.01,985.6666666666666,140280.0,781.0,,0.792,,,Attention
RWD,2012-13,88.0,3.956,0.0498,4.5,145.0,12.0,11.94,1224.5555555555557,152760.0,775.0,,0.633,,,Attention
RWE,2012-13,87.6,3.164,0.0423,4.0,132.0,12.4,19.77,1674.911111111111,222222.0,1633.0,,0.975,,,Attention
RX1,2012-13,85.6,3.243,0.0718,4.2,135.0,14.4,16.34,1703.9333333333334,192230.0,1553.0,,0.911,,,Attention
RBK,2012-13,91.2,3.61,0.0222,4.5,91.0,8.8,16.53,488.81111111111113,67443.0,383.0,,0.784,,,Attention
RJC,2012-13,88.9,3.295,0.0535,5.4,128.0,11.1,16.89,596.8,57925.0,300.0,,0.503,,,Attention
RJE,2012-13,92.8,3.254,0.0429,3.4,191.0,7.2,16.14,1044.7444444444445,151421.0,818.0,,0.783,,,Critique
RJF,2012-13,92.2,3.253,0.0326,3.7,80.0,7.8,19.81,482.15555555555557,67478.0,292.0,,0.606,,,Attention
RKB,2012-13,92.6,3.146,0.0548,4.7,137.0,7.4,14.68,1124.9666666666667,138596.0,884.0,,0.786,,,Critique
RL4,2012-13,92.2,3.703,0.0393,4.7,112.0,7.8,14.23,811.7333333333333,104343.0,637.0,,0.785,,,Critique
RLQ,2012-13,95.9,3.446,0.0298,4.5,142.0,4.1,13.63,243.0,43676.0,270.0,,1.111,,,Critique
RLT,2012-13,90.9,4.224,0.042,4.7,138.0,9.1,15.66,323.94444444444446,38138.0,261.0,,0.806,,,Critique
RNA,2012-13,86.6,3.552,0.0524,3.8,180.0,13.4,18.09,752.8888888888889,106969.0,503.0,,0.668,,,Attention
RXW,2012-13,93.8,3.965,0.041,4.2,135.0,6.2,11.12,752.0,109826.0,558.0,,0.742,,,Critique
RAJ,2012-13,82.1,4.211,0.0262,3.9,145.0,17.9,11.78,639.5888888888888,91723.0,730.0,,1.141,,,Attention
RC1,2012-13,98.8,4.043,0.0345,4.4,137.0,1.2,16.14,364.0,49268.0,286.0,,0.786,,,Critique
RC9,2012-13,86.9,2.567,0.0208,3.5,147.0,13.1,21.35,644.1222222222223,86676.0,519.0,,0.806,,,Attention
RCX,2012-13,88.8,4.13,0.0266,4.3,186.0,11.2,10.18,483.31111111111113,71387.0,337.0,,0.697,,,Attention
RDD,2012-13,92.9,3.938,0.0374,4.6,173.0,7.1,22.6,667.1777777777778,77481.0,456.0,,0.683,,,Critique
RDE,2012-13,88.5,4.324,0.036,3.8,146.0,11.5,15.32,642.3888888888889,80533.0,434.0,,0.676,,,Attention
RGN,2012-13,85.2,3.364,0.0396,4.1,156.0,14.8,12.37,645.6555555555556,85933.0,443.0,,0.686,,,Attention
RGP,2012-13,85.5,4.052,0.0218,4.3,152.0,14.5,11.63,435.0,59701.0,297.0,,0.683,,,Attention
RGQ,2012-13,86.5,3.58,0.0315,3.8,167.0,13.5,13.05,591.5111111111111,85727.0,444.0,,0.751,,,Attention
RGR,2012-13,80.0,3.871,0.0598,4.2,162.0,20.0,10.87,478.34444444444443,55177.0,342.0,,0.715,,,Attention
RGT,2012-13,94.2,2.865,0.0564,4.9,181.0,5.8,10.91,940.3333333333334,129346.0,1169.0,,1.243,,,Critique
RM1,2012-13,92.4,3.562,0.0238,3.9,160.0,7.6,11.82,978.3777777777777,163828.0,936.0,,0.957,,,Critique
RQ8,2012-13,88.0,3.34,0.0203,3.7,155.0,12.0,12.4,552.0,83554.0,496.0,,0.899,,,Attention
RQW,2012-13,93.4,3.745,0.0248,4.0,129.0,6.6,16.48,456.4222222222222,60423.0,385.0,,0.844,,,Critique
RWG,2012-13,83.1,3.711,0.0509,4.1,130.0,16.9,16.96,727.5666666666667,90286.0,535.0,,0.735,,,Attention
RWH,2012-13,83.3,4.027,0.0163,4.0,159.5,16.7,16.03,751.0,79927.0,731.0,,0.973,,,Attention
R1H,2012-13,89.3,2.246,0.037,4.3,164.0,10.7,17.19,2012.1444444444444,237548.0,2157.0,,1.072,,,Attention
RAL,2012-13,86.5,2.909,0.0714,5.3,146.0,13.5,11.22,539.6111111111111,69985.0,872.0,,1.616,,,Attention
RAP,2012-13,95.8,2.749,0.0442,4.0,158.0,4.2,18.27,334.65555555555557,49723.0,484.0,,1.446,,,Critique
RAS,2012-13,83.1,2.647,0.0386,3.9,154.0,16.9,18.99,443.77777777777777,59591.0,405.0,,0.913,,,Attention
RAX,2012-13,88.1,2.753,0.0351,3.1,172.0,11.9,34.98,454.06666666666666,65558.0,418.0,,0.921,,,Attention
RC3,2012-13,92.5,2.226,0.0362,4.0,115.0,7.5,17.57,464.85555555555555,41493.0,368.0,,0.792,,,Attention
RF4,2012-13,97.0,3.831,0.052,4.7,186.0,3.0,15.87,1030.4333333333334,127010.0,876.0,,0.85,,,Critique
RFW,2012-13,97.9,2.607,0.0449,3.7,190.0,2.1,24.05,390.7888888888889,46725.0,358.0,,0.916,,,Critique
RJ2,2012-13,91.5,2.195,0.0699,4.0,149.0,8.5,23.1,434.0,58640.0,792.0,,1.825,,,Attention
RJ6,2012-13,93.0,2.752,0.0411,4.4,207.0,7.0,18.92,498.0,73052.0,479.0,,0.962,,,Critique
RJ7,2012-13,92.7,2.299,0.0587,4.4,181.0,7.3,15.46,927.2777777777778,105559.0,1155.0,,1.246,,,Critique
RJZ,2012-13,95.5,1.999,0.0658,4.8,172.0,4.5,20.09,863.0666666666667,118621.0,1986.0,,2.301,,,Critique
RKE,2012-13,84.8,1.539,0.0283,3.3,170.0,15.2,25.75,324.2888888888889,53019.0,487.0,,1.502,,,Normal
RQM,2012-13,67.3,1.279,0.0215,3.3,140.0,32.7,26.09,521.0,69920.0,680.0,,1.305,,,Normal
RQX,2012-13,89.0,1.537,0.0231,3.7,145.0,11.0,30.84,410.46666666666664,56236.0,451.0,,1.099,,,Attention
RRV,2012-13,87.9,1.601,0.0374,4.6,139.0,12.1,13.5,852.6666666666666,144276.0,1315.0,,1.542,,,Attention
RV8,2012-13,93.2,2.658,0.0308,4.1,131.0,6.8,15.25,727.0,107202.0,831.0,,1.143,,,Critique
RVL,2012-13,90.8,2.75,0.0163,3.6,175.0,9.2,21.71,728.6,116548.0,655.0,,0.899,,,Attention
RYJ,2012-13,61.3,2.215,0.0497,4.1,130.0,38.7,16.1,1197.0,173128.0,1677.0,,1.401,,,Attention
RA2,2012-13,83.4,2.859,0.0293,3.9,159.0,16.6,12.18,525.4222222222222,71766.0,544.0,,1.035,,,Attention
RDU,2012-13,93.4,2.832,0.0178,3.7,183.0,6.6,13.26,598.8555555555556,90113.0,495.0,,0.827,,,Critique
RPA,2012-13,95.4,3.122,0.0213,3.9,165.0,4.6,15.54,545.0,75115.0,478.0,,0.877,,,Critique
RTK,2012-13,85.6,3.653,0.0204,4.1,161.0,14.4,19.08,578.3333333333334,73707.0,504.0,,0.871,,,Attention
RTP,2012-13,88.1,3.383,0.0324,4.3,185.0,11.9,12.55,616.0,77267.0,492.0,,0.799,,,Attention
RVV,2012-13,76.7,3.675,0.0223,3.5,146.0,23.3,10.16,1177.6,174743.0,958.0,,0.814,,,Attention
RWF,2012-13,91.2,3.45,0.0642,4.3,181.0,8.8,13.96,753.2,91950.0,690.0,,0.916,,,Attention
RXC,2012-13,79.3,4.802,0.0506,5.6,161.0,20.7,10.13,861.5777777777778,100716.0,552.0,,0.641,,,Attention
RXH,2012-13,89.2,3.417,0.0444,4.7,154.0,10.8,11.67,847.5333333333333,117167.0,1029.0,,1.214,,,Attention
RD7,2012-13,89.3,2.93,0.0339,3.9,141.0,10.7,15.41,606.2111111111111,76660.0,510.0,,0.841,,,Attention
RD8,2012-13,95.0,2.83,0.0332,3.7,178.0,5.0,17.4,452.97777777777776,60159.0,316.0,,0.698,,,Critique
RHM,2012-13,91.4,3.147,0.0311,4.6,144.0,8.6,13.1,1104.8222222222223,128684.0,1221.0,,1.105,,,Attention
RHU,2012-13,90.8,3.501,0.0304,3.9,117.0,9.2,13.62,1006.9333333333333,131683.0,825.0,,0.819,,,Attention
RHW,2012-13,86.9,3.428,0.0306,4.1,150.0,13.1,20.98,709.0777777777778,94755.0,637.0,,0.898,,,Attention
RTH,2012-13,83.7,2.939,0.0501,4.3,194.0,16.3,13.1,1329.4555555555555,183697.0,1633.0,,1.228,,,Attention
RXQ,2012-13,97.2,3.374,0.034,5.1,195.0,2.8,18.61,734.3222222222222,91307.0,628.0,,0.855,,,Critique
RA3,2012-13,95.4,5.441,0.0641,5.2,185.0,4.6,10.19,236.04444444444445,29647.0,195.0,,0.826,,,Critique
RA4,2012-13,87.0,3.756,0.0267,4.4,165.0,13.0,8.93,348.4,41187.0,233.0,,0.669,,,Attention
RA7,2012-13,76.6,2.316,0.0401,4.1,147.0,23.4,17.36,950.2777777777778,119703.0,1054.0,,1.109,,,Attention
RA9,2012-13,76.1,4.258,0.0308,3.4,141.0,23.9,9.96,443.02222222222224,68287.0,466.0,,1.052,,,Attention
RBA,2012-13,82.4,3.088,0.022,3.5,141.0,17.6,14.31,630.9222222222222,86393.0,488.0,,0.773,,,Attention
RBD,2012-13,86.0,3.534,0.0435,3.6,122.0,14.0,12.55,334.5888888888889,50529.0,315.0,,0.941,,,Attention
RBZ,2012-13,90.8,4.677,0.0258,6.3,66.0,9.2,18.74,351.24444444444447,50294.0,317.0,,0.903,,,Attention
RD1,2012-13,97.9,4.674,0.0607,5.1,188.5,2.1,0.87,619.6555555555556,67591.0,522.0,,0.842,,,Critique
RD3,2012-13,89.7,2.919,0.0366,3.4,168.0,10.3,22.25,519.5111111111111,73841.0,442.0,,0.851,,,Attention
RDZ,2012-13,93.8,4.387,0.0304,4.1,95.0,6.2,2.2,624.8111111111111,101859.0,439.0,,0.703,,,Attention
RH8,2012-13,85.4,2.998,0.0384,3.9,132.0,14.6,10.12,793.4444444444445,119812.0,692.0,,0.872,,,Attention
RK9,2012-13,83.3,3.34,0.0292,4.2,164.0,16.7,11.09,912.3333333333334,116505.0,874.0,,0.958,,,Attention
RN3,2012-13,91.3,2.855,0.0368,3.7,93.0,8.7,25.6,648.2333333333333,89664.0,483.0,,0.745,,,Attention
RNZ,2012-13,90.0,3.214,0.0465,4.3,140.0,10.0,16.25,457.0,53772.0,327.0,,0.716,,,Attention
RTE,2012-13,92.0,3.553,0.0449,4.0,168.0,8.0,14.54,999.7,149067.0,1009.0,,1.009,,,Attention
RBL,2013-14,85.0,3.216,0.0252,4.2,166.0,15.0,9.56,819.6,107091.0,564.0,,0.688,,,Attention
RBT,2013-14,88.9,3.053,0.0308,3.8,110.0,11.1,12.9,547.0,74690.0,295.0,,0.539,,,Attention
RJN,2013-14,89.0,3.969,0.0787,4.9,141.0,11.0,11.39,357.02222222222224,36864.0,245.0,,0.686,,,Attention
RJR,2013-14,93.2,2.97,0.0626,4.1,163.0,6.8,18.46,573.2555555555556,76650.0,417.0,,0.727,,,Critique
RWW,2013-14,87.5,3.07,0.0239,3.8,145.0,12.5,11.44,605.4444444444445,79337.0,394.0,,0.651,,,Attention
RTR,2013-14,83.0,2.858,0.0319,4.3,100.0,17.0,10.38,1182.7444444444445,153466.0,922.0,,0.78,,,Normal
RVW,2013-14,84.0,3.901,0.0734,4.3,108.0,16.0,10.14,641.2,83146.0,480.0,,0.749,,,Normal
RXP,2013-14,81.0,3.433,0.0477,3.9,56.0,19.0,11.76,1112.8222222222223,138304.0,743.0,,0.668,,,Normal
RM2,2013-14,83.6,2.876,0.0492,4.4,173.0,16.4,12.34,869.8888888888889,93433.0,674.0,,0.775,,,Attention
RM3,2013-14,92.6,3.455,0.0581,5.1,156.0,7.4,3.58,698.8333333333334,80856.0,742.0,,1.062,,,Critique
RMC,2013-14,81.5,2.561,0.0676,3.4,117.0,18.5,23.0,672.6888888888889,91715.0,481.0,,0.715,,,Normal
RMP,2013-14,90.4,4.075,0.0686,4.3,189.0,9.6,12.74,479.9888888888889,51031.0,277.0,,0.577,,,Attention
RRF,2013-14,87.6,3.765,0.0424,3.9,151.0,12.4,8.96,490.0888888888889,82543.0,484.0,,0.988,,,Attention
RW6,2013-14,84.3,3.065,0.043,3.3,125.0,15.7,11.83,1372.5333333333333,200136.0,995.0,,0.725,,,Attention
RWJ,2013-14,82.9,2.676,0.054,3.9,158.0,17.1,14.22,738.8,88814.0,445.0,,0.602,,,Attention
RXL,2013-14,90.9,4.214,0.0269,5.2,182.0,9.1,9.17,835.0,104009.0,503.0,,0.602,,,Critique
RXN,2013-14,92.3,2.994,0.0493,4.4,127.0,7.7,13.03,890.8444444444444,131941.0,715.0,,0.803,,,Critique
RXR,2013-14,83.5,3.167,0.0279,4.2,139.0,16.5,11.53,1016.9222222222222,129245.0,703.0,,0.691,,,Attention
RBN,2013-14,94.0,2.961,0.0317,3.8,175.0,6.0,12.26,697.7222222222222,97761.0,522.0,,0.748,,,Critique
REM,2013-14,89.6,4.713,0.0962,5.8,146.0,10.4,0.35,706.0444444444445,74866.0,531.0,,0.752,,,Attention
RQ6,2013-14,91.4,3.878,0.059,5.5,148.0,8.6,0.63,795.7777777777778,89875.0,804.0,,1.01,,,Attention
RVY,2013-14,84.1,3.859,0.0374,4.4,101.0,15.9,10.28,503.8,61423.0,296.0,,0.588,,,Normal
RE9,2013-14,83.7,4.869,0.0193,5.5,71.0,16.3,14.37,405.5777777777778,36196.0,214.0,,0.528,,,Attention
RLN,2013-14,71.8,3.444,0.0518,4.4,121.0,28.2,7.93,883.8666666666667,121521.0,563.0,,0.637,,,Attention
RNL,2013-14,84.0,3.47,0.0631,4.1,108.0,16.0,8.09,613.8888888888889,88758.0,385.0,,0.627,,,Normal
RTD,2013-14,84.1,2.408,0.034,5.0,99.0,15.9,9.41,1609.4666666666667,217581.0,1686.0,,1.048,,,Attention
RTF,2013-14,80.3,5.029,0.0509,5.8,118.0,19.7,6.6,1129.6,104188.0,617.0,,0.546,,,Attention
RTX,2013-14,81.4,3.674,0.0526,4.3,147.0,18.6,8.36,760.3777777777777,91271.0,467.0,,0.614,,,Attention
RCB,2013-14,89.2,3.842,0.0386,4.8,104.0,10.8,12.21,1054.0,139988.0,729.0,,0.692,,,Attention
RCD,2013-14,86.6,3.524,0.0441,4.8,127.0,13.4,9.23,334.9555555555556,47636.0,320.0,,0.955,,,Attention
RWA,2013-14,86.1,3.678,0.0366,4.3,155.0,13.9,9.6,1127.5333333333333,158332.0,939.0,,0.833,,,Attention
RFF,2013-14,85.9,3.37,0.0344,3.5,143.0,14.1,16.66,484.2233333333333,66867.0,304.0,,0.628,,,Attention
RFR,2013-14,94.5,3.584,0.0269,4.1,149.0,5.5,10.92,633.1444444444444,74313.0,366.0,,0.578,,,Critique
RHQ,2013-14,79.8,3.157,0.0486,5.4,113.0,20.2,10.73,2052.8333333333335,214091.0,1462.0,,0.712,,,Attention
RP5,2013-14,83.7,3.604,0.0536,4.0,134.0,16.3,10.71,974.0,119411.0,574.0,,0.589,,,Attention
RAE,2013-14,72.9,2.223,0.0484,3.2,170.0,27.1,13.59,741.8,119904.0,669.0,,0.902,,,Attention
RCF,2013-14,79.7,2.889,0.0305,3.5,126.0,20.3,17.19,421.97777777777776,59030.0,243.0,,0.576,,,Attention
RR8,2013-14,84.2,3.073,0.0807,5.1,165.0,15.8,13.01,1883.8444444444444,190798.0,1855.0,,0.985,,,Attention
RWY,2013-14,86.1,2.989,0.0237,3.5,122.0,13.9,17.39,785.5333333333333,122270.0,554.0,,0.705,,,Attention
RJC,2013-14,81.3,3.203,0.053,5.6,110.0,18.7,12.71,543.8,58488.0,300.0,,0.552,,,Attention
RKB,2013-14,93.9,3.032,0.0534,4.4,135.0,6.1,14.25,1115.6777777777777,142355.0,884.0,,0.792,,,Critique
RLQ,2013-14,96.6,3.782,0.0296,4.6,130.0,3.4,10.72,239.0,43953.0,270.0,,1.13,,,Critique
RLT,2013-14,90.2,4.077,0.0425,4.6,108.0,9.8,14.02,308.76666666666665,37667.0,261.0,,0.845,,,Attention
RBK,2013-14,92.2,3.441,0.022,4.5,90.0,7.8,16.43,492.6777777777778,68260.0,383.0,,0.777,,,Attention
RL4,2013-14,90.7,3.409,0.0385,4.6,114.0,9.3,14.02,798.0777777777778,106396.0,637.0,,0.798,,,Attention
RNA,2013-14,89.1,3.213,0.0513,3.5,161.0,10.9,17.6,752.2,109068.0,503.0,,0.669,,,Attention
RFS,2013-14,89.3,3.444,0.0529,4.1,147.0,10.7,13.61,586.7666666666667,73774.0,361.0,,0.615,,,Attention
RK5,2013-14,95.0,3.338,0.0349,4.9,147.0,5.0,14.01,748.2333333333333,83025.0,420.0,,0.561,,,Critique
RTG,2013-14,89.9,3.604,0.0458,4.4,152.0,10.1,14.75,1022.9666666666667,142041.0,781.0,,0.763,,,Attention
RX1,2013-14,88.3,2.861,0.067,4.3,140.0,11.7,15.73,1643.5333333333333,206110.0,1553.0,,0.945,,,Attention
RCX,2013-14,88.7,3.88,0.0261,3.8,143.0,11.3,9.61,418.7888888888889,72710.0,337.0,,0.805,,,Attention
RGN,2013-14,88.6,3.388,0.0401,4.2,204.0,11.4,12.26,642.6666666666666,84847.0,443.0,,0.689,,,Attention
RGP,2013-14,86.6,4.682,0.0224,4.7,146.0,13.4,11.39,430.6333333333333,58144.0,297.0,,0.69,,,Critique
RGQ,2013-14,91.3,3.771,0.0311,3.9,150.5,8.7,12.43,596.9111111111112,86952.0,444.0,,0.744,,,Attention
RGR,2013-14,74.4,3.883,0.0561,4.3,145.0,25.6,10.04,483.0,58785.0,342.0,,0.708,,,Attention
RGT,2013-14,86.7,2.833,0.054,4.8,187.0,13.3,10.44,1023.3777777777777,135205.0,1169.0,,1.142,,,Attention
RM1,2013-14,91.8,3.422,0.0225,4.0,134.0,8.2,10.88,985.7444444444444,173111.0,936.0,,0.95,,,Attention
RAJ,2013-14,78.2,3.89,0.0255,3.8,178.0,21.8,10.88,622.6444444444444,94189.0,730.0,,1.172,,,Attention
RDD,2013-14,92.1,3.768,0.0358,4.6,169.0,7.9,21.69,710.0,81020.0,456.0,,0.642,,,Critique
RDE,2013-14,88.9,3.783,0.0294,3.7,141.0,11.1,12.14,651.8555555555556,98792.0,434.0,,0.666,,,Attention
RQ8,2013-14,93.0,3.24,0.0197,3.6,170.0,7.0,11.16,552.0,86182.0,496.0,,0.899,,,Critique
RQW,2013-14,87.5,3.119,0.0222,3.6,157.0,12.5,18.0,501.27777777777777,67630.0,385.0,,0.768,,,Attention
RC1,2013-14,91.3,3.948,0.0339,4.4,138.0,8.7,15.05,363.0,50195.0,286.0,,0.788,,,Attention
RC9,2013-14,85.7,2.443,0.0197,3.4,125.0,14.3,21.03,631.3111111111111,91174.0,519.0,,0.822,,,Attention
RD8,2013-14,93.0,2.569,0.0302,3.5,180.0,7.0,15.81,453.9111111111111,66334.0,316.0,,0.696,,,Critique
RNQ,2013-14,92.3,3.134,0.0522,4.1,147.0,7.7,16.41,573.0,78553.0,373.0,,0.651,,,Critique
RNS,2013-14,87.5,2.907,0.0297,4.5,131.0,12.5,17.87,825.3222222222222,97614.0,506.0,,0.613,,,Attention
RWG,2013-14,81.5,2.905,0.0475,3.8,124.0,18.5,16.83,739.1555555555556,96895.0,535.0,,0.724,,,Attention
RWH,2013-14,84.6,3.547,0.0154,3.9,164.0,15.4,14.56,728.2,84224.0,731.0,,1.004,,,Attention
RWD,2013-14,85.4,3.959,0.0518,4.4,130.0,14.6,10.49,1107.4555555555555,146845.0,775.0,,0.7,,,Attention
RWE,2013-14,88.4,3.16,0.0421,4.0,119.0,11.6,16.8,1648.0666666666666,223123.0,1633.0,,0.991,,,Attention
RJE,2013-14,95.3,3.124,0.0412,3.4,191.0,4.7,15.28,1048.2222222222222,157605.0,818.0,,0.78,,,Critique
RJF,2013-14,85.4,3.033,0.0322,3.7,75.0,14.6,17.24,513.0555555555555,68302.0,292.0,,0.569,,,Attention
RXW,2013-14,93.2,3.738,0.0394,4.1,117.0,6.8,10.46,748.0,114149.0,558.0,,0.746,,,Attention
RD1,2013-14,94.7,4.443,0.0592,4.9,162.0,5.3,0.86,616.0111111111111,69305.0,522.0,,0.847,,,Critique
RN3,2013-14,90.8,2.62,0.0355,3.9,104.0,9.2,23.27,657.9111111111112,92855.0,483.0,,0.734,,,Attention
RNZ,2013-14,92.1,3.002,0.045,4.4,141.0,7.9,15.24,452.0888888888889,55614.0,327.0,,0.723,,,Critique
RTE,2013-14,90.8,3.49,0.0449,3.9,154.0,9.2,13.97,967.9,149077.0,1009.0,,1.042,,,Attention
RA3,2013-14,94.7,5.235,0.0592,4.9,165.0,5.3,3.84,261.06666666666666,32118.0,195.0,,0.747,,,Critique
RA4,2013-14,82.8,3.937,0.0273,4.3,153.0,17.2,8.89,364.1,40265.0,233.0,,0.64,,,Attention
RA7,2013-14,86.4,2.371,0.0403,4.1,140.0,13.6,17.12,797.6666666666666,119135.0,1054.0,,1.321,,,Attention
RBA,2013-14,78.8,2.909,0.0217,3.5,136.0,21.2,13.39,623.5555555555555,87399.0,488.0,,0.783,,,Attention
RA9,2013-14,80.6,4.013,0.0302,3.4,157.0,19.4,9.84,449.0,69545.0,466.0,,1.038,,,Attention
RBZ,2013-14,84.5,4.222,0.0259,5.7,62.0,15.5,18.68,340.3333333333333,50253.0,317.0,,0.931,,,Attention
RH8,2013-14,87.4,2.932,0.0377,4.0,137.0,12.6,9.8,798.2888888888889,121890.0,692.0,,0.867,,,Attention
RK9,2013-14,83.7,3.212,0.0298,4.4,145.0,16.3,8.96,896.4888888888889,114065.0,874.0,,0.975,,,Attention
RPA,2013-14,94.3,3.283,0.0214,4.1,156.0,5.7,15.01,566.0,74746.0,478.0,,0.845,,,Critique
RVV,2013-14,92.3,3.768,0.022,3.5,145.0,7.7,9.61,1030.0,177502.0,958.0,,0.93,,,Critique
RWF,2013-14,93.6,3.38,0.0601,4.0,173.0,6.4,12.91,720.2777777777778,98228.0,690.0,,0.958,,,Critique
