INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,SITE_CODE,SITE_NAME,SHMI_VALUE,SHMI_BANDING,SPELLS,OBSERVED,EXPECTED,PO_LL,PO_UL,OD_LL,OD_UL,SITE_TYPE,NO_PROVIDERS_AT_SITE,SITE_OWNER,SITE_POSTCODE
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,RAE3A,WESTWOOD PARK,*,*,40,0,*,*,*,*,*,COMMUNITY HEALTH - NHS & INDEPENDENT,ONE,TRUST,BD6 3RW
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,RAE2J,NOT PROVIDED,*,*,10,0,*,*,*,*,*,NOT PROVIDED,ONE,NOT PROVIDED,NOT PROVIDED
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,RAE34,NOT PROVIDED,*,*,*,0,*,*,*,*,*,NOT PROVIDED,ONE,NOT PROVIDED,NOT PROVIDED
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,.,NOT PROVIDED,1.2871,1,6545,410,320,0.8358,1.1855,0.8236,1.2142,NOT PROVIDED,ONE,NOT PROVIDED,NOT PROVIDED
I00699,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,RXQ51,AMERSHAM HOSPITAL,*,*,155,*,10,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,HP7 0JD
I00699,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,RXQ61,BUCKINGHAM HOSPITAL,*,*,60,*,*,*,*,*,*,COMMUNITY HEALTH - NHS & INDEPENDENT,ONE,TRUST,MK18 1NU
I00699,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,RXQ91,CHILTERN HOSPITAL,*,*,30,0,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT NON-SPECIALIST,ONE,PRIVATE,HP16 0EN
I00699,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,RXQ02,STOKE MANDEVILLE HOSPITAL,0.9107,2,55620,1275,1400,0.9195,1.0853,0.845,1.1834,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,HP21 8AL
I00699,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,B5K4L,THE CHERWELL HOSPITAL,*,*,25,0,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT NON-SPECIALIST,ONE,PRIVATE,OX16 9FG
I00699,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,RXQ50,WYCOMBE HOSPITAL,0.7872,3,5065,155,195,0.7929,1.2421,0.8081,1.2374,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,HP11 2TT
I00699,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,RXQFN,NOT PROVIDED,3.0823,1,175,120,40,0.5767,1.6011,0.7029,1.4227,NOT PROVIDED,ONE,NOT PROVIDED,NOT PROVIDED
I00699,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,V9Z9K,BMI HEALTHCARE - THE HUDDERSFIELD HOSPITAL,*,*,60,0,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT NON-SPECIALIST,ONE,PRIVATE,HD2 2BL
I00699,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,RWY02,CALDERDALE ROYAL HOSPITAL,0.9674,2,33575,850,880,0.899,1.1087,0.841,1.1891,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,HX3 0PW
I00699,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,RWY01,HUDDERSFIELD ROYAL INFIRMARY,1.0235,2,25965,1305,1275,0.9157,1.0896,0.8443,1.1844,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,HD3 3EA
I00699,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,U7K2Z,HUDDERSFIELD ROYAL INFIRMARY ELECTIVE SURGICAL HUB,*,*,690,*,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,HD3 3EA
I00699,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,RWYA4,SPIRE HOSPITAL,*,*,65,0,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT NON-SPECIALIST,ONE,PRIVATE,HX5 9EB
I00699,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,.,NOT PROVIDED,*,*,*,0,*,*,*,*,*,NOT PROVIDED,ONE,NOT PROVIDED,NOT PROVIDED
I00699,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,RGT01,ADDENBROOKE'S HOSPITAL,0.9744,2,48260,2085,2140,0.9345,1.0686,0.8474,1.1801,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,CB2 0QQ
I00699,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,RGT1Y,CAMBRIDGE DIALYSIS CENTRE,*,*,*,0,*,*,*,*,*,ACUTE HOSPITAL - NHS SPECIALIST,ONE,TRUST,CB5 8PD
I00699,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,RGT3Q,CUH AT KINGS LYNN DIALYSIS,*,*,*,0,*,*,*,*,*,UNDETERMINED,ONE,TRUST,PE30 4ET
I00699,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,RGT1Q,CUH AT PRINCESS OF WALES HOSPITAL,*,*,25,0,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,CB6 1DN
I00699,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,T8C3T,CUH AT ROYAL PAPWORTH HOSPITAL,*,*,*,0,*,*,*,*,*,UNDETERMINED,ONE,TRUST,CB2 0AY
I00699,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,RGT65,HINCHINGBROOKE DIALYSIS UNIT,*,*,10,0,*,*,*,*,*,UNDETERMINED,ONE,TRUST,CB2 0QQ
I00699,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,RGT98,NUFFIELD HEALTH CAMBRIDGE HOSPITAL,*,*,65,0,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT NON-SPECIALIST,ONE,PRIVATE,CB2 8AF
I00699,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,RGT32,ROSIE HOSPITAL,1.3326,2,12460,40,30,0.5242,1.7134,0.6729,1.486,UNDETERMINED,ONE,TRUST,CB2 0QQ
I00699,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,RGT97,SPIRE (LEA) HOSPITAL,*,*,55,0,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT NON-SPECIALIST,ONE,PRIVATE,CB24 9EL
I00699,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,RGT04,NOT PROVIDED,*,*,*,0,*,*,*,*,*,NOT PROVIDED,ONE,NOT PROVIDED,NOT PROVIDED
I00699,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,.,NOT PROVIDED,*,*,*,0,*,*,*,*,*,NOT PROVIDED,ONE,NOT PROVIDED,NOT PROVIDED
I00699,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,RQM01,CHELSEA & WESTMINSTER HOSPITAL,0.6795,3,46455,655,960,0.9033,1.1037,0.8419,1.1878,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,SW10 9NH
I00699,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,RQM91,WEST MIDDLESEX UNIVERSITY HOSPITAL,0.7496,3,45770,935,1245,0.9148,1.0906,0.8442,1.1846,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,TW7 6AF
I00699,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,RFSDA,CHESTERFIELD ROYAL HOSPITAL,0.9663,2,52995,1750,1810,0.929,1.0748,0.8466,1.1812,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,S44 5BL
I00699,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,RJR05,COUNTESS OF CHESTER HOSPITAL,1.0233,2,39625,1250,1220,0.9139,1.0916,0.844,1.1849,ACUTE HOSPITAL - NHS NON-SPECIALIST,MULTIPLE,TRUST,CH2 1UL
I00699,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,RJR60,ELLESMERE PORT HOSPITAL,0.3684,3,735,30,75,0.6826,1.4077,0.7588,1.3178,COMMUNITY HEALTH - NHS & INDEPENDENT,ONE,TRUST,CH65 6SG
I00699,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,RWWHG,HALTON HOSPITAL NIGHTINGALE BUILDING,*,*,*,0,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,MULTIPLE,TRUST,WA7 2DA
I00699,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,.,NOT PROVIDED,*,*,70,*,*,*,*,*,*,NOT PROVIDED,ONE,NOT PROVIDED,NOT PROVIDED
I00699,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,RXPBA,BISHOP AUCKLAND HOSPITAL,0.7693,2,800,15,20,0.4426,1.9166,0.6238,1.603,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,DL14 6AD
I00699,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,RXPCC,CHESTER LE STREET HOSPITAL,*,*,75,*,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,DH3 3AT
I00699,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,RXPDA,DARLINGTON MEMORIAL HOSPITAL,1.1054,2,37455,1170,1060,0.9077,1.0987,0.8428,1.1865,ACUTE HOSPITAL - NHS NON-SPECIALIST,MULTIPLE,TRUST,DL3 6HX
I00699,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,RXPCG,HORN HALL HOSPITAL,*,*,30,*,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,DL13 2JR
I00699,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,RXPCJ,RICHARDSON HOSPITAL,*,*,80,*,*,*,*,*,*,RESIDENTIAL SOCIAL CARE,ONE,TRUST,DL12 8ET
I00699,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,RXPCL,SEDGEFIELD COMMUNITY HOSPITAL,*,*,85,*,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,TS21 3EE
I00699,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,RXPCW,SHOTLEY BRIDGE HOSPITAL SITE,*,*,105,*,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,DH8 0NB
I00699,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,RXPWE,SUNDERLAND ROYAL HOSPITAL,*,*,*,0,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,MULTIPLE,TRUST,SR4 7TP
I00699,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,RXPCP,UNIVERSITY HOSPITAL OF NORTH DURHAM,1.174,2,36800,1550,1320,0.9171,1.0881,0.8446,1.184,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,DH1 5TW
I00699,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,RXP69,WEARDALE HOSPITAL,*,*,30,*,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,DL13 2JR
I00699,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,.,NOT PROVIDED,0.9523,2,2760,230,245,0.8133,1.2147,0.8158,1.2258,NOT PROVIDED,ONE,NOT PROVIDED,NOT PROVIDED
I00699,RJ6,CROYDON HEALTH SERVICES NHS TRUST,RJ611,CROYDON UNIVERSITY HOSPITAL,1.0219,2,25735,1050,1030,0.9064,1.1001,0.8425,1.1869,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,CR7 7YE
I00699,RJ6,CROYDON HEALTH SERVICES NHS TRUST,F3E3F,CROYDON UNIVERSITY HOSPITAL ELECTIVE SURGICAL HUB,*,*,1695,*,*,*,*,*,*,UNDETERMINED,ONE,TRUST,CR7 7YE
I00699,RN7,DARTFORD AND GRAVESHAM NHS TRUST,RN707,DARENT VALLEY HOSPITAL,0.9949,2,50355,1355,1360,0.9184,1.0866,0.8448,1.1837,ACUTE HOSPITAL - NHS NON-SPECIALIST,MULTIPLE,TRUST,DA2 8DA
I00699,RN7,DARTFORD AND GRAVESHAM NHS TRUST,S2I6U,PRACTICE PLUS GROUP GILLINGHAM,*,*,10,0,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT NON-SPECIALIST,ONE,PRIVATE,ME8 6AD
I00699,RN7,DARTFORD AND GRAVESHAM NHS TRUST,RN7QM,QUEEN MARY'S HOSPITAL SIDCUP,*,*,1765,0,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,DA14 6LT
I00699,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,RP5BA,BASSETLAW HOSPITAL,1.2005,2,12640,540,450,0.8606,1.1544,0.8312,1.203,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,S81 0BD
I00699,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,RP5DR,DONCASTER ROYAL INFIRMARY,1.1425,2,46605,1765,1545,0.9232,1.0812,0.8456,1.1825,ACUTE HOSPITAL - NHS NON-SPECIALIST,MULTIPLE,TRUST,DN2 5LT
I00699,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,RP5MM,MONTAGU HOSPITAL,*,*,55,*,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,S64 0AZ
I00699,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,NVC14,PARK HILL HOSPITAL,*,*,325,0,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT NON-SPECIALIST,ONE,PRIVATE,DN2 5TH
I00699,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,NTP13,PRACTICE PLUS GROUP HOSPITAL - BARLBOROUGH,*,*,125,0,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT NON-SPECIALIST,ONE,PRIVATE,S43 4XE
