INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,SHMI_VALUE,SHMI_BANDING,SPELLS,OBSERVED,EXPECTED,PO_LL,PO_UL,OD_LL,OD_UL
I00699,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,1.1276,1,165850,5845,5180,0.9576,1.0437,0.8949,1.1174
I00699,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,0.9661,2,50255,1450,1505,0.9222,1.0823,0.8879,1.1263
I00699,RXF,MID YORKSHIRE TEACHING NHS TRUST,1.0632,2,79265,2650,2495,0.9393,1.0634,0.8918,1.1214
I00699,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1.066,2,49760,1320,1235,0.9144,1.091,0.8859,1.1288
I00699,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1.2074,1,71745,3290,2725,0.9418,1.0606,0.8923,1.1207
I00699,RVJ,NORTH BRISTOL NHS TRUST,0.9562,2,88470,2235,2340,0.9373,1.0656,0.8914,1.1219
I00699,RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,1.0111,2,42305,1730,1710,0.9269,1.077,0.889,1.1248
I00699,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,1.0053,2,32350,1205,1200,0.9131,1.0925,0.8855,1.1293
I00699,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,0.9566,2,56420,1870,1955,0.9316,1.0719,0.8901,1.1234
I00699,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,1.036,2,73415,2650,2560,0.94,1.0626,0.8919,1.1212
I00699,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,0.88,3,72045,1705,1940,0.9313,1.0722,0.8901,1.1235
I00699,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,1.0559,2,115780,4235,4010,0.9519,1.0498,0.8941,1.1185
I00699,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,1.0273,2,66895,2315,2250,0.9362,1.0668,0.8911,1.1222
I00699,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,0.8932,2,94430,2665,2985,0.9444,1.0579,0.8927,1.1201
I00699,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,1.0476,2,132240,3945,3765,0.9504,1.0514,0.8938,1.1188
