INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,IN_HOSPITAL_NUMERATOR,OUT_HOSPITAL_NUMERATOR,IN_HOSPITAL_RATE,OUT_HOSPITAL_RATE
I00733,RK5,"SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST",1885,1230,655,65,35
I00733,RH5,"SOMERSET NHS FOUNDATION TRUST",1880,1330,550,71,29
I00733,RTR,"SOUTH TEES HOSPITALS NHS FOUNDATION TRUST",2455,1645,810,67,33
I00733,R0B,"SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST",3055,2225,830,73,27
I00733,RJC,"SOUTH WARWICKSHIRE NHS FOUNDATION TRUST",1240,795,445,64,36
I00733,RVY,"SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST",1220,710,510,58,42
I00733,RJ7,"ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1535,1155,375,75,24
I00733,RBN,"ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST",2235,1545,690,69,31
I00733,RWJ,"STOCKPORT NHS FOUNDATION TRUST",1600,1080,520,68,33
I00733,RTP,"SURREY AND SUSSEX HEALTHCARE NHS TRUST",1770,1155,615,65,35
I00733,RMP,"TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST",1180,780,400,66,34
I00733,RNA,"THE DUDLEY GROUP NHS FOUNDATION TRUST",2045,1355,685,66,33
I00733,RAS,"THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST",905,590,310,65,34
I00733,RTD,"THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST",2270,1585,680,70,30
I00733,RQW,"THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST",1325,855,470,65,35
I00733,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",1490,995,495,67,33
I00733,RFR,"THE ROTHERHAM NHS FOUNDATION TRUST",1265,790,475,62,38
I00733,RL4,"THE ROYAL WOLVERHAMPTON NHS TRUST",2355,1585,770,67,33
I00733,RXW,"THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST",2410,1430,985,59,41
I00733,RA9,"TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST",1715,1150,565,67,33
I00733,RWD,"UNITED LINCOLNSHIRE HOSPITALS NHS TRUST",3085,1925,1160,62,38
I00733,RRV,"UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST",965,610,350,63,36
I00733,RHM,"UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST",2485,1665,825,67,33
I00733,RRK,"UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST",6095,4065,2030,67,33
I00733,RA7,"UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST",2100,1520,575,72,27
I00733,RKB,"UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST",2585,1745,835,68,32
I00733,R0D,"UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST",3245,2340,910,72,28
I00733,RTG,"UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST",4045,2895,1155,72,29
I00733,RWE,"UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST",3725,2325,1400,62,38
I00733,RTX,"UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST",1745,1105,640,63,37
I00733,RJE,"UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST",3670,2560,1105,70,30
I00733,RK9,"UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST",2330,1575,755,68,32
I00733,RYR,"UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST",4740,3035,1710,64,36
I00733,RBK,"WALSALL HEALTHCARE NHS TRUST",1400,950,450,68,32
I00733,RWW,"WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST",1155,795,360,69,31
I00733,RWG,"WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST",1845,1280,565,69,31
I00733,RGR,"WEST SUFFOLK NHS FOUNDATION TRUST",1310,825,480,63,37
I00733,RKE,"WHITTINGTON HEALTH NHS TRUST",505,355,150,70,30
I00733,RBL,"WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST",1890,1375,515,73,27
I00733,RWP,"WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST",2610,1615,990,62,38
I00733,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",1505,1000,505,66,34
I00733,RLQ,"WYE VALLEY NHS TRUST",1150,710,440,62,38
I00733,RA4,"YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST",1060,780,280,74,26
I00733,RCB,"YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST",2780,1835,945,66,34
