INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,MEAN,MAXIMUM
I01965,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,5.7108,19
I01965,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,5.9762,12
I01965,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,6.3348,19
I01965,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,7.9861,13
I01965,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,7.6434,19
I01965,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,6.2109,19
I01965,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,4.9349,19
I01965,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,5.0568,19
I01965,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,4.519,19
I01965,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,5.9314,19
I01965,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,5.3517,19
I01965,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,6.0097,19
I01965,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,6.7243,19
I01965,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,6.8731,19
I01965,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,5.9721,19
I01965,RBK,WALSALL HEALTHCARE NHS TRUST,6.1119,19
I01965,RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,9.2689,19
I01965,RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,5.3857,19
I01965,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,4.7299,19
I01965,RKE,WHITTINGTON HEALTH NHS TRUST,3.4078,19
I01965,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,5.8626,19
I01965,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,6.2771,19
I01965,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",6.8611,19
I01965,RLQ,WYE VALLEY NHS TRUST,4.915,19
I01965,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,5.4984,19
