INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,IN_HOSPITAL_NUMERATOR,OUT_HOSPITAL_NUMERATOR,IN_HOSPITAL_RATE,OUT_HOSPITAL_RATE
I00733,RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,1290,825,465,64,36
I00733,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,1140,705,435,62,38
I00733,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1595,1275,315,80,20
I00733,RBN,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,2270,1670,595,74,26
I00733,RWJ,STOCKPORT NHS FOUNDATION TRUST,1735,1220,520,70,30
I00733,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,1715,1215,500,71,29
I00733,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,1360,955,405,70,30
I00733,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,2310,1585,730,69,32
I00733,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,790,540,245,68,31
I00733,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,2555,1855,700,73,27
I00733,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,1230,855,370,70,30
I00733,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",1395,965,430,69,31
I00733,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,1345,865,485,64,36
I00733,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,2305,1585,720,69,31
I00733,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,2340,1460,880,62,38
I00733,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,1605,1130,470,70,29
I00733,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,3090,1935,1155,63,37
I00733,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,980,710,270,72,28
I00733,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,2520,1705,815,68,32
I00733,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,6210,4305,1905,69,31
I00733,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,2325,1735,590,75,25
I00733,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,2655,1925,730,73,27
I00733,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,3240,2465,775,76,24
I00733,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,4040,2955,1085,73,27
I00733,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,3830,2550,1280,67,33
I00733,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,1785,1125,660,63,37
I00733,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,3735,2735,1000,73,27
I00733,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,2100,1480,620,70,30
I00733,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,4940,3410,1525,69,31
I00733,RBK,WALSALL HEALTHCARE NHS TRUST,1620,1130,490,70,30
I00733,RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,1270,965,305,76,24
I00733,RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,1935,1395,540,72,28
I00733,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,1390,930,460,67,33
I00733,RKE,WHITTINGTON HEALTH NHS TRUST,495,370,125,75,25
I00733,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,1865,1450,415,78,22
I00733,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,2730,1720,1010,63,37
I00733,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",1625,1110,510,68,31
I00733,RLQ,WYE VALLEY NHS TRUST,1160,775,385,67,33
I00733,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,2745,1935,805,70,29
