INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I02038,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,910,110390,0.8
I02038,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,0,62940,0
I02038,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,200,40850,0.5
I02038,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,0,92725,0
I02038,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,0,36325,0
I02038,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,0,33395,0
I02038,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,0,101135,0
I02038,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,0,62775,0
I02038,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,105,100865,0.1
I02038,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,845,77305,1.1
I02038,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,235,29480,0.8
I02038,RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,0,47585,0
I02038,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,1260,88595,1.4
I02038,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,940,108945,0.9
I02038,R1F,ISLE OF WIGHT NHS TRUST,*,20885,*
I02038,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,0,34350,0
I02038,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,0,49505,0
I02038,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,455,97375,0.5
I02038,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,0,54160,0
I02038,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,1875,87790,2.1
I02038,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,860,100910,0.9
I02038,RJ2,LEWISHAM AND GREENWICH NHS TRUST,45,84960,0.1
I02038,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1355,97520,1.4
I02038,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,775,105940,0.7
I02038,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,655,99765,0.7
I02038,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,1800,188940,1
I02038,RPA,MEDWAY NHS FOUNDATION TRUST,485,52720,0.9
I02038,RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,765,122245,0.6
I02038,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,160,179960,0.1
I02038,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,60,55470,0.1
I02038,RXF,MID YORKSHIRE TEACHING NHS TRUST,3795,82690,4.6
I02038,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,0,38535,0
I02038,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,*,76150,*
I02038,RVJ,NORTH BRISTOL NHS TRUST,0,95540,0
I02038,RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,1480,46105,3.2
I02038,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,*,30160,*
I02038,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,10,59070,0
I02038,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,1075,80405,1.3
I02038,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,0,77145,0
I02038,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,645,125570,0.5
I02038,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,490,67585,0.7
I02038,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,9245,104375,8.9
I02038,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,2945,141335,2.1
I02038,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1530,128400,1.2
I02038,RHU,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,0,93365,0
I02038,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,70,63685,0.1
I02038,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,830,65160,1.3
I02038,RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,1515,98380,1.5
I02038,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,60,104005,0.1
I02038,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,**,**,**
I02038,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,10,61905,0
I02038,RNZ,SALISBURY NHS FOUNDATION TRUST,45,32870,0.1
I02038,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,2190,60670,3.6
I02038,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,2415,123555,2
I02038,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,2430,63395,3.8
I02038,RH5,SOMERSET NHS FOUNDATION TRUST,1070,82205,1.3
I02038,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,1335,98545,1.4
I02038,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,275,80960,0.3
I02038,RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,420,45025,0.9
I02038,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,390,66660,0.6
I02038,RWJ,STOCKPORT NHS FOUNDATION TRUST,0,54220,0
I02038,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,15,60245,0
I02038,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,0,42360,0
I02038,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,0,84975,0
I02038,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,20,43130,0
I02038,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,7075,109070,6.5
I02038,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,0,41315,0
I02038,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",0,45975,0
I02038,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,0,50990,0
I02038,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,1550,107285,1.4
I02038,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,760,72545,1
I02038,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,0,41945,0
I02038,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,900,80195,1.1
I02038,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,965,64250,1.5
I02038,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,700,95195,0.7
I02038,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,8725,231765,3.8
I02038,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,680,108595,0.6
I02038,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,1855,98065,1.9
I02038,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,960,97940,1
I02038,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,1895,135185,1.4
I02038,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,510,165065,0.3
I02038,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,485,56875,0.9
I02038,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,690,148470,0.5
I02038,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,2445,77185,3.2
I02038,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,1300,151625,0.9
I02038,RBK,WALSALL HEALTHCARE NHS TRUST,35,71390,0
I02038,RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,750,35915,2.1
I02038,RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,*,61950,*
I02038,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,875,41560,2.1
I02038,RKE,WHITTINGTON HEALTH NHS TRUST,0,21785,0
I02038,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,85,63475,0.1
I02038,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,415,74580,0.6
I02038,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",315,46895,0.7
I02038,RLQ,WYE VALLEY NHS TRUST,1300,35355,3.7
I02038,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,2190,94830,2.3
