INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I00731,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,15,7350,0
I00731,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,10,2365,0
I00731,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,30,3020,1
I00731,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,25,2020,1
I00731,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,50,12105,0
I00731,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,150,5675,3
I00731,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,270,36615,1
I00731,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,25,5505,0
I00731,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,10,2420,0
I00731,RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,10,2115,0
I00731,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,145,12460,1
I00731,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,80,17490,0
I00731,R1F,ISLE OF WIGHT NHS TRUST,*,1680,*
I00731,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,30,3595,1
I00731,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,20,3845,1
I00731,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,65,15615,0
I00731,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,10,2365,0
I00731,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,110,11755,1
I00731,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,130,22040,1
I00731,RJ2,LEWISHAM AND GREENWICH NHS TRUST,*,4315,*
I00731,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,105,13700,1
I00731,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,35,8570,0
I00731,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,30,6540,0
I00731,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,220,28210,1
I00731,RPA,MEDWAY NHS FOUNDATION TRUST,15,4420,0
I00731,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,130,16655,1
I00731,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,10,2740,0
I00731,RXF,MID YORKSHIRE TEACHING NHS TRUST,15,5805,0
I00731,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,20,3290,1
I00731,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,55,10675,1
I00731,RVJ,NORTH BRISTOL NHS TRUST,40,11055,0
I00731,RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,10,3830,0
I00731,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,15,1610,1
I00731,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,25,5670,0
I00731,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,25,5090,0
I00731,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,40,7365,1
I00731,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,80,13205,1
I00731,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,25,4850,1
I00731,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,45,5775,1
I00731,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,185,18645,1
I00731,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,65,15850,0
I00731,RHU,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,70,9845,1
I00731,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,15,7140,0
I00731,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,75,6770,1
I00731,RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,80,12150,1
I00731,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,40,10005,0
I00731,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,20,6565,0
I00731,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,15,4665,0
I00731,RNZ,SALISBURY NHS FOUNDATION TRUST,25,3470,1
I00731,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,30,6615,0
I00731,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,165,20435,1
I00731,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,25,3730,1
I00731,RH5,SOMERSET NHS FOUNDATION TRUST,30,7320,0
