INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I02039,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,1780,104375,1.7
I02039,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,2915,141335,2.1
I02039,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1985,128400,1.5
I02039,RHU,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,1940,93365,2.1
I02039,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,1295,63685,2
I02039,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,1210,65160,1.9
I02039,RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,2420,98380,2.5
I02039,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,1800,104005,1.7
I02039,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,**,**,**
I02039,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,1145,61905,1.8
I02039,RNZ,SALISBURY NHS FOUNDATION TRUST,595,32870,1.8
I02039,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,785,60670,1.3
I02039,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,2530,123555,2
I02039,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,1195,63395,1.9
I02039,RH5,SOMERSET NHS FOUNDATION TRUST,2460,82205,3
I02039,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,1445,98545,1.5
I02039,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,1680,80960,2.1
I02039,RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,655,45025,1.5
I02039,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1190,66660,1.8
I02039,RWJ,STOCKPORT NHS FOUNDATION TRUST,415,54220,0.8
I02039,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,1475,60245,2.4
I02039,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,235,42360,0.6
I02039,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,640,84975,0.8
I02039,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,1125,43130,2.6
I02039,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,1560,109070,1.4
I02039,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,600,41315,1.5
I02039,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",815,45975,1.8
I02039,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,825,50990,1.6
I02039,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,1410,107285,1.3
I02039,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,1290,72545,1.8
